time,lateral-distance,altitude,range,,,,,
0,0,0,0,0,0,0,,300
0.2,0,0,60,0,0,3.6,,18
0.4,0,0,120,0,0,7.2,,
0.6,0,0,180,0,0,10.8,,
0.8,0,0,240,0,0,14.4,,
1,0,0,300,0,0,18,,
1.2,0,0,360,0,0,21.6,,
1.4,0,0,420,0,0,25.2,,
1.6,0,0,480,0,0,28.8,,
1.8,0,0,540,0,0,32.4,,
2,0,0,600,0,0,36,,
2.2,0,0,660,0,0,39.6,,
2.4,0,0,720,0,0,43.2,,
2.6,0,0,780,0,0,46.8,,
2.8,0,0,840,0,0,50.4,,
3,0,0,900,0,0,54,,
3.2,0,0,960,0,0,57.6,,
3.4,0,0,1020,0,0,61.2,,
3.6,0,0,1080,0,0,64.8,,
3.8,0,0,1140,0,0,68.4,,
4,0,0,1200,0,0,72,,
4.2,0,0,1260,0,0,75.6,,
4.4,0,0,1320,0,0,79.2,,
4.6,0,0,1380,0,0,82.8,,
4.8,0,0,1440,0,0,86.4,,
5,0,0,1500,0,0,90,,
5.2,0,0,1560,0,0,93.6,,
5.4,0,0,1620,0,0,97.2,,
5.6,0,0,1680,0,0,100.8,,
5.8,0,0,1740,0,0,104.4,,
6,0,0,1800,0,0,108,,
6.2,0,0,1860,0,0,111.6,,
6.4,0,0,1920,0,0,115.2,,
6.6,0,0,1980,0,0,118.8,,
6.8,0,0,2040,0,0,122.4,,
7,0,0,2100,0,0,126,,
7.2,0,0,2160,0,0,129.6,,
7.4,0,0,2220,0,0,133.2,,
7.6,0,0,2280,0,0,136.8,,
7.8,0,0,2340,0,0,140.4,,
8,0,0,2400,0,0,144,,
8.2,0,0,2460,0,0,147.6,,
8.4,0,0,2520,0,0,151.2,,
8.6,0,0,2580,0,0,154.8,,
8.8,0,0,2640,0,0,158.4,,
9,0,0,2700,0,0,162,,
9.2,0,0,2760,0,0,165.6,,
9.4,0,0,2820,0,0,169.2,,
9.6,0,0,2880,0,0,172.8,,
9.8,0,0,2940,0,0,176.4,,
10,0,0,3000,0,0,180,,
10.2,0,0,3060,0,0,183.6,,
10.4,0,0,3120,0,0,187.2,,
10.6,0,0,3180,0,0,190.8,,
10.8,0,0,3240,0,0,194.4,,
11,0,0,3300,0,0,198,,
11.2,0,0,3360,0,0,201.6,,
11.4,0,0,3420,0,0,205.2,,
11.6,0,0,3480,0,0,208.8,,
11.8,0,0,3540,0,0,212.4,,
12,0,0,3600,0,0,216,,
12.2,0,0,3660,0,0,219.6,,
12.4,0,0,3720,0,0,223.2,,
12.6,0,0,3780,0,0,226.8,,
12.8,0,0,3840,0,0,230.4,,
13,0,0,3900,0,0,234,,
13.2,0,0,3960,0,0,237.6,,
13.4,0,0,4020,0,0,241.2,,
13.6,0,0,4080,0,0,244.8,,
13.8,0,0,4140,0,0,248.4,,
14,0,0,4200,0,0,252,,
14.2,0,0,4260,0,0,255.6,,
14.4,0,0,4320,0,0,259.2,,
14.6,0,0,4380,0,0,262.8,,
14.8,0,0,4440,0,0,266.4,,
15,0,0,4500,0,0,270,,
15.2,0,0,4560,0,0,273.6,,
15.4,0,0,4620,0,0,277.2,,
15.6,0,0,4680,0,0,280.8,,
15.8,0,0,4740,0,0,284.4,,
16,0,0,4800,0,0,288,,
16.2,0,0,4860,0,0,291.6,,
16.4,0,0,4920,0,0,295.2,,
16.6,0,0,4980,0,0,298.8,,
16.8,0,0,5040,0,0,302.4,,
17,0,0,5100,0,0,306,,
17.2,0,0,5160,0,0,309.6,,
17.4,0,0,5220,0,0,313.2,,
17.6,0,0,5280,0,0,316.8,,
17.8,0,0,5340,0,0,320.4,,
18,0,0,5400,0,0,324,,
18.2,0,0,5460,0,0,327.6,,
18.4,0,0,5520,0,0,331.2,,
18.6,0,0,5580,0,0,334.8,,
18.8,0,0,5640,0,0,338.4,,
19,0,0,5700,0,0,342,,
19.2,0,0,5760,0,0,345.6,,
19.4,0,0,5820,0,0,349.2,,
19.6,0,0,5880,0,0,352.8,,
19.8,0,0,5940,0,0,356.4,,
20,0,0,6000,0,0,360,,
